$b$,$w(0)$,$\hat{E}$,$\hat{R}$,$C=GM(R)/c^2R$,$Z(0)$,$\epsilon_c(0)/mc^2$,$\hat{\rho}(0)$,$\hat{p}(0)$,$v(0)/c$,$v(R)/c$,$\langle\gamma\rangle=\gamma_{{\rm cr}}$
5.0,0.064815,0.206015,2.597,0.079328,0.612906,0.479448,0.160344,0.0171013,0.56565,0.003365,1.62358
3.0,0.108185,0.158573,2.006,0.0790492,0.613491,0.480491,0.271859,0.0289847,0.565552,0.00501669,1.62356
2.0,0.162585,0.128444,1.633,0.0786552,0.614252,0.481854,0.416754,0.0444142,0.565434,0.000839347,1.62354
1.0,0.32707,0.0886277,1.143,0.0775395,0.616612,0.486021,0.891191,0.09485,0.565059,0.00565015,1.62347
0.5,0.662445,0.0595204,0.793001,0.0750572,0.621927,0.495258,2.05635,0.218273,0.564303,0.00366372,1.62333
0.3,1.12526,0.0427849,0.599001,0.0714271,0.630406,0.509562,4.23693,0.448081,0.563266,0.0091192,1.62311
0.2,1.73635,0.0314517,0.477001,0.0659364,0.644181,0.531996,8.65548,0.911403,0.562044,0.00705363,1.62278
0.15,2.39865,0.024123,0.407001,0.0592702,0.663548,0.561946,16.8117,1.765,0.561211,0.00952828,1.62239
0.14,2.60081,0.0224259,0.393001,0.0570632,0.670637,0.572538,20.3949,2.14055,0.561128,0.0101614,1.62225
0.13,2.8435,0.0206203,0.380001,0.0542638,0.680073,0.586379,25.6589,2.69362,0.56119,0.00883738,1.62209
0.12,3.1424,0.0186835,0.369001,0.0506326,0.693337,0.605343,34.0099,3.57521,0.561577,0.00528167,1.62188
0.11,3.5249,0.0165825,0.362001,0.045808,0.713594,0.63326,48.8977,5.16148,0.562734,0.00638807,1.62159
0.1,4.0515,0.0142556,0.368001,0.0387378,0.750107,0.681035,81.7923,8.74006,0.566189,0.00876561,1.62117
0.09,5.0862,0.011399,0.483001,0.0236004,0.88925,0.844163,257.654,29.6813,0.587872,0.00572277,1.62023
